sample_id,longitude,latitude,year_of_sampling
FMS26394v2,22.19635,58.10709,2012
FMS10985v2,27.31,58.25,2012
S003062,-119.49117,37.80889,2012
GF3S01337a,24.98596,59.61535,2016
GF4S17771b,-64.86466667,-32.0725556,2014
GF4S03240b,101.016,24.533,2015
GF4S21284b,25.9695,58.6612,2020
FMS16BI0124v2,132.370453,-15.258583,
GF4S17376b,11.06,47.44,2016
GF3S03504a,111.51,36.11,2015
N3698,-123.2666667,54.3333333,2014
GF4S20562b,27.331703,58.125912,2015
FMS23449v2,-121.92,52.32,2009
GF4S21864b,14.5283969,50.2005714,2017
N1572,8.897732161,55.1432163,2014
N0569,117.907,29.122,2011
FMS17268v2,-101.273809,23.204697,2008
GF3S00742a,-3.35483,36.92412,2014
FMS16BI0353v2,138.8613,-34.60901,2013
GF4T1697otu,-4.75,7.63,2018
GF4T1367otu,166.47,-22.02,2014
GF3S04678a,-96.610631,39.101036,2015
GF4S00195b,102.8290556,33.9374167,2019
GF4S03466b,100.167,27.167,2015
GF3S05248a,-61.753794,47.453659,2011
FMS05326v3,111.93469,32.58003,2015
GF4S03428b,101.016,24.533,2015
GF4S19892b,26.82084,58.46239,2018
N1552,8.182877548,55.77354752,2014
GF4S21757b,26.666999,57.572335,2015
GF4S03954b,101.016,24.533,2015
FMS24717v2,-73.2508238,42.1290612,2013
FMS25056v2,14.21,60.95,2014
FMS16BI1200v2,149.01088,-35.8748666,2014
FMS23459v2,-121.92,52.32,2009
S000713,147.65,-42.533,2012
GF4T582otu,43.1,42.95,2015
GF4S03439b,101.574,21.612,2015
FMS25186v2,13.96,62.66,2014
GF4S19290b,15.7,61.91783736,2016
GF4S19807b,26.27879,58.22426,2017
GF4S03255b,101.574,21.612,2015
S000992,18.816002,68.354395,
S008774,17.766267,66.139609,2009
GF4S09322b,-96.58333333,39.0833333,2018
FMS26442v2,22.26849,58.29754,2012
GF4S20761b,25.664158,59.151644,2015
FMS00288v3,21.8025,40.99361,2013
GF4S03574b,101.016,24.533,2015
GF4S19614b,26.93328,58.25645,2012
FMS24291v2,5.63,52.25,2016
GF3S04450a,24.9500236,60.1724044,2019
GF4S14365b,16.645243,49.312548,2017
GF4S03943b,101.574,21.612,2015
GF4S02535b,10.59698864,51.08644727,2011
FMS16BI1828v2,150.73423,-33.62075,2015
S000854,-96.635,17.1666,2012
GF4S03186b,100.167,27.167,2015
FMS16BI1690v2,143.09814,-13.83469,2015
GF3S05147a,1.049167,41.341111,2013
FMS16BI1683v2,147.4391,-42.80744,2014
N3668,-123.2666667,54.3333333,2015
GF4S19295b,16.33,61.86122121,2016
FMS25085v2,14.56,61.42,2014
GF4T671otu,18.43,68.41,2014
FMS16BI0618v2,118.7302858,-34.30374389,2013
GF4T769otu,-59.92,5.31,2012
GF3S02398a,122.0863,50.9448,2017
N1554,8.241796699,55.67383734,2014
GF4S10557b,117.5203223,31.95517748,2015
GF4T1138otu,23.62,54.74,2020
GF3S03545a,-83.5378,35.6904,2017
FMS20328v2,24.17,61.51,2011
S008991,17.807557,65.977202,2009
FMS24994v2,14.29,61.19,2014
S000710,168.0811,-45.601,2012
FMS16BI0417v2,148.7953167,-35.42273333,2013
GF4S21012b,23.25202218,58.99896669,2016
FMS17559v2,100.4833333,35.55,2011
FMS11737v2,-61.739396,47.474459,2011
GF4S19791b,25.20219,56.69142,2019
GF4S03695b,100.167,27.167,2015
S00D573,21.7,61.8,2011
N3724,-123.2666667,54.3333333,2014
GF4S12271b,-0.843973775,39.57116326,2014
GF4S01660b,4.98599,50.87578,2018
S009093,17.81088,65.974564,2009
FMS16BI1088v2,138.5673,-31.32774,2013
GF4S21112b,24.03989056,59.37664116,2016
FMS26670v2,22.83214,58.48656,2012
GF4S09308b,-99.15,39.0833333,2018
GF3S01739a,24.48,61.4,2014
FMS20292v2,24.17,61.51,2011
GF3S05105a,-84.16,10.27,2014
GF3S03514a,118.49,24.88,2015
S005795,5.263889,51.236111,2009
GF4S14156b,-106.6972497,34.3158173,2013
GF4T1130otu,24.39,54.21,2020
GF4S02083b,18.853583,68.3265,2008
FMS25200v2,15.26,63.18,2014
FMS16BI0320v2,130.92864,-25.2875,
