sample_id,longitude,latitude,year_of_sampling
S4005,9.460072222,48.4587139,2011
S6978,-64.185914,-31.560943,2015
S7631,107.41,35.12,2013
S6778,-155.3251139,19.82215833,2017
S6939,-155.3010472,19.8330056,2017
S3634,-155.3176528,19.8207917,2017
S1933,3.01889,39.83495,2018
S4440,-17.25861111,28.12694444,2017
S1508,19.927439,60.346781,2015
S2393,111.0166667,29.6336111,2012
S5931,-107.6833333,50.3,2012
S7502,-117.968734,54.58128419,2016
S4369,-155.3099972,19.8326083,2017
S6468,-118.762735,54.51051497,2016
S3953,-107.6833333,50.3,2012
S4736,9.460072222,48.4587139,2011
S3084,9.460072222,48.4587139,2011
S6203,-155.3102889,19.8328028,2017
S1921,-113.35,48.4666667,NA_
S920,108.1666667,34.35,2015
S6291,-118.756858,54.51953924,2016
S1621,-113.35,48.4666667,NA_
S2790,27.2624,58.2986,2009
S4244,34.45741,-18.934019,2014
S1173,81.90194444,22.37416667,2018
S6204,-117.327002,53.41285736,2016
S1965,17.29638889,60.01472222,2018
S2686,115.72,29.29,2018
S5527,-118.061871,54.56130614,2016
S2901,121.3512,43.3201,2010
S3191,19.671511,60.213008,2015
S6464,-119.097777,56.26112706,2016
S3765,10.39916667,0.617222222,2009
S1848,112.53,23.17,2015
S5862,-155.3046194,19.8333267,2017
S6463,-117.33073,53.8039,2016
S7220,34.45098,-18.937819,2014
S4613,114.5184,40.1842,2010
S1642,112.28,35.2,2016
S3584,117.07359,35.06678,2015
S6742,-155.3046194,19.8333267,2017
S4953,-107.6833333,50.3,2011
S2163,126.8425,45.845556,2014
S1055,3.02,35.07,2018
S5383,9.460072222,48.4587139,2011
S3943,106.2413889,24.28666667,2018
S2405,116.87,-29.12,2017
S7454,-155.3261611,19.8219194,2017
S5078,-74.01138889,11.28416667,2014
S6439,-119.099106,56.24936834,2016
S5098,-107.6833333,50.3,2012
S2046,112.5349142,23.1825644,2014
S1850,29.19605,-26.00796667,2017
S909,115.72,29.29,2018
S3362,34.3764,-18.928533,2014
S2392,115.56705,33.25602,2015
S4985,126.8333333,48.33333333,2017
S3238,-113.35,48.4666667,NA_
S4764,19.924203,60.344756,2015
S1063,103.6694,10.5061,2020
S5779,-117.325814,53.42042705,2016
S5894,-117.970426,54.58351057,2016
S2067,9.460072222,48.4587139,2011
S2178,9.460072222,48.4587139,2011
S5093,-155.3176528,19.8207917,2017
S3086,107.41,35.12,2013
S1753,19.800614,60.334578,2015
S5461,-155.3010472,19.8330056,2017
S7126,172.1930556,-41.76638889,2014
S1295,-44.67055556,-22.39805556,2018
S4363,-155.3251139,19.82215833,2017
S1213,-16.545,28.02888889,2017
S3866,-155.3261611,19.8219194,2017
S1455,107.3718,35.3162,2010
S4245,-155.3170028,19.8208167,2017
S2440,9.460072222,48.4587139,2011
S2586,106.3887,36.6687,2010
S4429,-122.1627778,43.63388889,2016
S5693,125.4333333,43.78333333,2017
S3821,19.927436,60.346783,2015
S4378,-155.3159722,19.8209611,2017
S4225,-73.37,45.72,2011
S4539,-120.5802778,37.84888889,2012
S2804,-87.2034,21.2103,2013
S1654,9.460072222,48.4587139,2011
S4673,-155.3099972,19.8326083,2017
S2847,4.977837,50.858796,2018
S2152,115.60347,33.30233,2015
S1507,29.20228333,-26.00905,2017
S5003,34.45098,-18.937819,2014
S6392,-119.680605,54.81207452,2016
S1467,111.93469,32.58003,2015
S2941,111.84103,32.55538,2015
S2398,10.417922,51.271275,2011
S1076,-39.19277778,-8.455833333,2018
S6560,-155.3102889,19.8328028,2017
S5555,34.375167,-18.9413833,2014
S1669,4.9604,50.86249,2018
S4976,-155.3099972,19.8326083,2017
S1237,111.0166667,29.6336111,2012
S3855,116.76,-29.2,2017
S3891,-155.3099972,19.8326083,2017
S4098,-116.921555,53.33712817,2016
S3306,126.35,45.63333333,2017
S3439,9.460072222,48.4587139,2011
S3895,51.4825,30.40027778,2017
S2739,110.2791667,19.9025,2018
S5180,-73.37,45.72,2011
S6154,9.58,34.49,2014
S3925,-113.35,48.4666667,NA_
S2182,-73.37,45.72,2011
S4152,-155.3102889,19.8328028,2017
S4142,-155.3263889,19.82154722,2017
S924,-6.553691667,5.834158333,2012
S3028,19.671808,60.213675,2015
S4006,9.460072222,48.4587139,2011
S5253,-155.3102889,19.8328028,2017
S4701,-119.69187,54.81258,2016
S2567,-107.6833333,50.3,2012
S4182,-96.41277778,15.71666667,2018
S7106,-107.6833333,50.3,2012
S4383,-155.3263889,19.82154722,2017
S3905,19.800744,60.334353,2015
S1385,29.18803333,-25.99306667,2017
S7334,-119.097777,56.26112706,2016
S4289,-116.593305,54.20218352,2016
S1252,29.19726667,-26.00418333,2017
S2354,9.460072222,48.4587139,2011
S5958,-116.921555,53.33712817,2016
S3594,34.47004,-18.919292,2014
S1198,-3.513333333,40.27111111,2018
S4573,-119.680605,54.81207452,2016
S4220,34.45098,-18.937819,2014
S4199,-79.38805556,43.1325,2017
S5959,15.69972222,78.2,2014
S2802,9.460072222,48.4587139,2011
S6025,-155.3176528,19.8207917,2017
S2727,34.45097,-18.9378167,2014
S2060,9.460072222,48.4587139,2011
S5357,19.671808,60.213681,2015
S7537,-72.1875,42.4836111,2016
S4715,34.3764,-18.928533,2014
S3388,34.19967,-19.0001,2014
S2350,9.460072222,48.4587139,2011
S4614,112.0577,39.0587,2010
S7653,90.9875,69.0033,2018
S1832,-3.901944444,40.63527778,2018
S6769,-155.3261611,19.8219194,2017
S1330,110.5319444,19.95,2018
S2806,126.0333333,44.86666667,2017
S7611,14.79166667,-22.68805556,2014
S4214,34.37243,-18.9478833,2014
S2891,-118.60254,53.87838,2016
S3222,111.8669742,26.761605,2014
S4423,9.460072222,48.4587139,2011
S4235,-64.185914,-31.560943,2015
S3486,110.1408333,23.16444444,2018
S2496,108.066667,34.283333,2016
S6789,-155.3099972,19.8326083,2017
S5768,98.43972222,18.51,2014
S7269,-8.837777778,41.71277778,1970
S6001,27.2624,58.2986,2009
S5459,-155.3159722,19.8209611,2017
S2219,4.986397,50.871157,2018
S6827,27.2624,58.2986,2009
S6614,-155.3102889,19.8328028,2017
S5282,-155.3263889,19.82154722,2017
S4661,111.8679461,26.7618042,2014
S5412,119.1878,41.1428,2010
S911,-6.530486111,5.014816667,2012
S2210,9.460072222,48.4587139,2011
S3521,-155.3170028,19.8208167,2017
S5775,-118.756858,54.51953924,2016
S6551,-155.3046194,19.8333267,2017
S1706,-38.88194444,-4.476944444,2018
S5017,9.64,34.38,2014
S3942,111.0502778,29.6677778,2012
S5670,-2.833333,37.4,2011
S4292,34.45097,-18.9378167,2014
S2296,9.460072222,48.4587139,2011
S1196,109.1894444,22.41388889,2018
S5953,24.78666667,70.14722222,2012
S3357,114.558349,35.015935,2010
S1238,119.6188808,29.0175139,2014
S5244,-155.3261611,19.8219194,2017
S1207,116.9003592,28.2618372,2014
S3493,-155.3046194,19.8333267,2017
S5049,-119.099106,56.24936834,2016
S6384,-118.483517,54.16046856,2016
S4370,-155.3099972,19.8326083,2017
S3198,-66.26083333,-28.87805556,2018
S6748,-155.3261611,19.8219194,2017
S3376,19.788944,60.365058,2015
S981,-73.79,5.096388889,2018
S6304,-118.60254,53.87838,2016
S5511,-155.3170028,19.8208167,2017
S5889,-2.833333,37.4,2011
S2495,108.066667,34.283333,2015
S3402,-155.3046194,19.8330333,2017
S6570,-155.3010472,19.8330056,2017
S935,-72.1875,42.4836111,2016
S5157,105.6712,35.5484,2010
S7108,-2.833333,37.4,2011
S4132,-155.3046194,19.8330333,2017
S4677,53.15833333,57.09861111,2012
S2294,9.460072222,48.4587139,2011
S3142,-155.3176528,19.8207917,2017
S2401,105.4794444,24.75805556,2018
S3023,117.07334,35.00309,2015
S4221,34.3764,-18.928533,2014
S3002,-155.3159722,19.8209611,2017
S1114,75.52083333,44.41138889,2018
S3150,9.61,34.53,2014
S3828,-91.31055556,16.15805556,2018
S1664,108.066667,34.283333,2016
S6844,-16.88722222,32.7325,2018
S1746,-155.3251139,19.82215833,2017
S1987,127.65,46.95,2017
S1278,23.80083333,35.45916667,2009
S2693,-113.35,48.4666667,NA_
S1918,119.98097,36.66411,2015
S892,-23.2975,64.85055556,2011
S2689,-73.37,45.72,2011
S1652,115.72,29.29,2018
S2973,20.268556,60.140625,2015
S5911,-155.3046194,19.8330333,2017
S2935,17.90305556,3.883333333,2017
S7231,27.2624,58.2986,2009
S4498,-118.486189,54.15963738,2016
S6753,-155.3170028,19.8208167,2017
S2876,-155.3046194,19.8330333,2017
S3096,108.9766667,18.46111111,2018
S1172,-155.3046194,19.8333267,2017
S5610,-83.705,22.54305556,2017
S4441,106.9,39.51,2015
S5118,10.417922,51.271275,2011
S5378,116.9109775,28.2519628,2014
S1183,109.5775,19.43222222,2018
S4386,-155.3010472,19.8330056,2017
S6178,-155.3263889,19.82154722,2017
S2978,114.829,37.83464,2015
S1735,3.01889,39.83495,2018
S1328,-75.25,4.866944444,2012
S7092,27.2624,58.2986,2009
S4594,-155.3046194,19.8330333,2017
S3956,116.2833333,42.0333333,2010
S6709,-155.3010472,19.8330056,2017
S2846,4.93665,50.84997,2018
S3144,9.460072222,48.4587139,2011
S6799,-155.3261611,19.8219194,2017
S1977,-69.94805556,-4.123055556,2017
S5212,-155.3099972,19.8326083,2017
S2045,4.99013,50.87226,2018
S2102,34.375167,-18.9413833,2014
S1836,-155.3099972,19.8326083,2017
S4049,9.460072222,48.4587139,2011
S904,-6.502113889,6.130113889,2012
S3383,34.22525,-19.0067333,2014
S4486,-155.3010472,19.8330056,2017
S6447,-119.680605,54.81207452,2016
S6975,-155.3099972,19.8326083,2017
S2912,4.960786,50.86092,2018
S3829,-118.609026,53.86836742,2016
S5807,-117.325814,53.42042705,2016
S3863,-113.35,48.4666667,NA_
S7345,-2.833333,37.4,2011
S4391,-155.3046194,19.8330333,2017
S3630,19.800536,60.334267,2015
S6158,-2.833333,37.4,2011
